,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
230,79,2,-90.51,-80.99,1.57,2.36,50,0,3.91015801,mt-zrf
231,80,2,-90.51,-80.99,2.36,3.14,50,0,3.91015801,mt-zrf
232,81,2,14.29,23.82,-0.79,0.0,50,155,6.4994393960000005,mt-zrf
233,82,2,14.29,23.82,-1.57,-0.79,50,579,4.911180095,mt-zrf
234,83,2,14.29,23.82,-2.36,-1.57,50,154,5.201349661,mt-zrf
235,84,2,14.29,23.82,-3.14,-2.36,50,710,8.266363962,mt-zrf
236,85,2,14.29,23.82,0.0,0.79,50,294,6.764286436,mt-zrf
237,86,2,14.29,23.82,0.79,1.57,50,37,10.39316114,mt-zrf
238,87,2,14.29,23.82,1.57,2.36,50,1414,14.91141455,mt-zrf
239,88,2,14.29,23.82,2.36,3.14,50,434,18.03520479,mt-zrf
240,89,2,23.82,33.35,-0.79,0.0,50,347,5.947478291,mt-zrf
241,90,2,23.82,33.35,-1.57,-0.79,50,2040,4.97605711,mt-zrf
242,91,2,23.82,33.35,-2.36,-1.57,50,2410,5.734653721,mt-zrf
243,92,2,23.82,33.35,-3.14,-2.36,50,568,4.265321923999999,mt-zrf
244,93,2,23.82,33.35,0.0,0.79,50,317,8.70919113,mt-zrf
245,94,2,23.82,33.35,0.79,1.57,50,66,3.316264334,mt-zrf
246,95,2,23.82,33.35,1.57,2.36,50,926,10.53360421,mt-zrf
247,96,2,23.82,33.35,2.36,3.14,50,564,10.75405825,mt-zrf
248,97,2,33.35,42.88,-0.79,0.0,50,3183,3.629956182,mt-zrf
249,98,2,33.35,42.88,-1.57,-0.79,50,2633,3.110002157,mt-zrf
250,99,2,33.35,42.88,-2.36,-1.57,50,3092,2.839396466,mt-zrf
251,100,2,33.35,42.88,-3.14,-2.36,50,1814,3.30782735,mt-zrf
252,101,2,33.35,42.88,0.0,0.79,50,1664,3.09372213,mt-zrf
253,102,2,33.35,42.88,0.79,1.57,50,489,2.578999156,mt-zrf
254,103,2,33.35,42.88,1.57,2.36,50,294,2.156149188,mt-zrf
255,104,2,33.35,42.88,2.36,3.14,50,606,2.491745426,mt-zrf
256,105,2,4.76,14.29,-0.79,0.0,50,76,3.295401309,mt-zrf
257,106,2,4.76,14.29,-1.57,-0.79,50,342,3.2480600280000003,mt-zrf
258,107,2,4.76,14.29,-2.36,-1.57,50,1331,4.4607529669999995,mt-zrf
259,108,2,4.76,14.29,-3.14,-2.36,50,514,4.111844511,mt-zrf
260,109,2,4.76,14.29,0.0,0.79,50,212,8.839404231,mt-zrf
261,110,2,4.76,14.29,0.79,1.57,50,31,11.26393824,mt-zrf
262,111,2,4.76,14.29,1.57,2.36,50,35,5.69167072,mt-zrf
263,112,2,4.76,14.29,2.36,3.14,50,421,12.27348947,mt-zrf
264,113,2,42.88,52.4,-0.79,0.0,50,1806,3.420612418,mt-zrf
265,114,2,42.88,52.4,-1.57,-0.79,50,134,1.590676693,mt-zrf
266,115,2,42.88,52.4,-2.36,-1.57,50,204,1.011636601,mt-zrf
267,116,2,42.88,52.4,-3.14,-2.36,50,127,0.6780346909999999,mt-zrf
268,117,2,42.88,52.4,0.0,0.79,50,1497,2.6981002519999997,mt-zrf
269,118,2,42.88,52.4,0.79,1.57,50,1155,2.132708267,mt-zrf
270,119,2,42.88,52.4,1.57,2.36,50,617,1.609059953,mt-zrf
271,120,2,42.88,52.4,2.36,3.14,50,123,0.599577321,mt-zrf
272,121,2,52.4,61.93,-0.79,0.0,50,9,6.33472258,mt-zrf
273,122,2,52.4,61.93,-1.57,-0.79,50,0,7.754738862707319,mt-zrf
274,123,2,52.4,61.93,-2.36,-1.57,50,0,6.569701020212119,mt-zrf
275,124,2,52.4,61.93,-3.14,-2.36,50,0,5.1814678814374995,mt-zrf
276,125,2,52.4,61.93,0.0,0.79,50,0,6.688967162820512,mt-zrf
277,126,2,52.4,61.93,0.79,1.57,50,0,8.702008207210525,mt-zrf
278,127,2,52.4,61.93,1.57,2.36,50,14,1.7391133369999998,mt-zrf
279,128,2,52.4,61.93,2.36,3.14,50,4,1.62208262,mt-zrf
280,129,2,61.93,71.46,-0.79,0.0,50,0,7.600197435739131,mt-zrf
281,130,2,61.93,71.46,-1.57,-0.79,50,0,7.827794362454545,mt-zrf
282,131,2,61.93,71.46,-2.36,-1.57,50,0,5.940535763647058,mt-zrf
283,132,2,61.93,71.46,-3.14,-2.36,50,0,5.973802553133334,mt-zrf
284,133,2,61.93,71.46,0.0,0.79,50,0,7.1845207087727285,mt-zrf
285,134,2,61.93,71.46,0.79,1.57,50,0,8.661729118458334,mt-zrf
286,135,2,61.93,71.46,1.57,2.36,50,0,8.143087029631578,mt-zrf
287,136,2,61.93,71.46,2.36,3.14,50,0,5.907005426312501,mt-zrf
288,137,2,71.46,80.99,-0.79,0.0,50,0,9.940457303272726,mt-zrf
289,138,2,71.46,80.99,-1.57,-0.79,50,0,9.3633622756,mt-zrf
290,139,2,71.46,80.99,-2.36,-1.57,50,0,5.3614083615000006,mt-zrf
291,140,2,71.46,80.99,-3.14,-2.36,50,0,7.00319746275,mt-zrf
292,141,2,71.46,80.99,0.0,0.79,50,0,9.0752873962,mt-zrf
293,142,2,71.46,80.99,0.79,1.57,50,0,14.529684476571429,mt-zrf
294,143,2,71.46,80.99,1.57,2.36,50,0,11.4490653566,mt-zrf
295,144,2,71.46,80.99,2.36,3.14,50,0,3.6453054280000003,mt-zrf
296,145,2,80.99,90.51,-0.79,0.0,50,0,4.884112899000001,mt-zrf
297,146,2,80.99,90.51,-1.57,-0.79,50,0,4.470987876000001,mt-zrf
298,147,2,80.99,90.51,-2.36,-1.57,50,0,3.7555405865000004,mt-zrf
299,148,2,80.99,90.51,-3.14,-2.36,50,0,3.7555405865000004,mt-zrf
300,149,2,80.99,90.51,0.0,0.79,50,0,5.344322461333333,mt-zrf
301,150,2,80.99,90.51,0.79,1.57,50,0,10.239756931,mt-zrf
302,151,2,80.99,90.51,1.57,2.36,50,0,8.501807839333333,mt-zrf
303,152,2,80.99,90.51,2.36,3.14,50,0,7.763095025999999,mt-zrf
304,1,3,-14.29,-4.76,-0.79,0.0,50,533,4.663728181000001,mt-zrf
305,2,3,-14.29,-4.76,-1.57,-0.79,50,558,12.82273728,mt-zrf
306,3,3,-14.29,-4.76,-2.36,-1.57,50,1256,20.44979882,mt-zrf
307,4,3,-14.29,-4.76,-3.14,-2.36,50,2843,6.228404291,mt-zrf
308,5,3,-14.29,-4.76,0.0,0.79,50,417,5.909785061,mt-zrf
309,6,3,-14.29,-4.76,0.79,1.57,50,2679,7.859235407999999,mt-zrf
310,7,3,-14.29,-4.76,1.57,2.36,50,184,5.260388783,mt-zrf
311,8,3,-14.29,-4.76,2.36,3.14,50,1536,4.312015318,mt-zrf
312,9,3,-23.82,-14.29,-0.79,0.0,50,635,7.641347771,mt-zrf
313,10,3,-23.82,-14.29,-1.57,-0.79,50,2569,7.603503694,mt-zrf
314,11,3,-23.82,-14.29,-2.36,-1.57,50,4851,7.000980305,mt-zrf
315,12,3,-23.82,-14.29,-3.14,-2.36,50,4483,5.991775419,mt-zrf
316,13,3,-23.82,-14.29,0.0,0.79,50,806,2.914997529,mt-zrf
317,14,3,-23.82,-14.29,0.79,1.57,50,2760,7.928171176,mt-zrf
318,15,3,-23.82,-14.29,1.57,2.36,50,2143,3.745411274,mt-zrf
319,16,3,-23.82,-14.29,2.36,3.14,50,305,3.025046792,mt-zrf
320,17,3,-33.35,-23.82,-0.79,0.0,50,1156,4.454228400000001,mt-zrf
321,18,3,-33.35,-23.82,-1.57,-0.79,50,5315,4.76340797,mt-zrf
322,19,3,-33.35,-23.82,-2.36,-1.57,50,9162,5.680907906,mt-zrf
