landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
23,3,-33.35,-23.82,1.57,2.36,50,880,2.908286773,mt-zrf
24,3,-33.35,-23.82,2.36,3.14,50,642,2.197607095,mt-zrf
25,3,-4.76,4.76,-0.79,0,50,284,7.873177676,mt-zrf
26,3,-4.76,4.76,-1.57,-0.79,50,277,11.20167848,mt-zrf
27,3,-4.76,4.76,-2.36,-1.57,50,231,13.90313275,mt-zrf
28,3,-4.76,4.76,-3.14,-2.36,50,2279,7.921873005,mt-zrf
29,3,-4.76,4.76,0,0.79,50,147,10.01935119,mt-zrf
30,3,-4.76,4.76,0.79,1.57,50,2000,11.44454454,mt-zrf
31,3,-4.76,4.76,1.57,2.36,50,164,4.236722999,mt-zrf
32,3,-4.76,4.76,2.36,3.14,50,808,4.311060471,mt-zrf
33,3,-42.88,-33.35,-0.79,0,50,1894,3.707996132,mt-zrf
34,3,-42.88,-33.35,-1.57,-0.79,50,3184,3.443436099,mt-zrf
35,3,-42.88,-33.35,-2.36,-1.57,50,6654,5.150887339,mt-zrf
36,3,-42.88,-33.35,-3.14,-2.36,50,1631,4.070783066,mt-zrf
37,3,-42.88,-33.35,0,0.79,50,6430,5.759335888,mt-zrf
38,3,-42.88,-33.35,0.79,1.57,50,2657,6.798159264,mt-zrf
39,3,-42.88,-33.35,1.57,2.36,50,83,1.308597052,mt-zrf
40,3,-42.88,-33.35,2.36,3.14,50,465,2.202817811,mt-zrf
41,3,-52.4,-42.88,-0.79,0,50,57,3.001860143,mt-zrf
42,3,-52.4,-42.88,-1.57,-0.79,50,79,2.682411895,mt-zrf
43,3,-52.4,-42.88,-2.36,-1.57,50,437,4.212651655,mt-zrf
44,3,-52.4,-42.88,-3.14,-2.36,50,81,4.052315498,mt-zrf
45,3,-52.4,-42.88,0,0.79,50,832,7.664973978,mt-zrf
46,3,-52.4,-42.88,0.79,1.57,50,3,11.8175462,mt-zrf
47,3,-52.4,-42.88,1.57,2.36,50,2,20.41537071,mt-zrf
48,3,-52.4,-42.88,2.36,3.14,50,0,NA,mt-zrf
49,3,-61.93,-52.4,-0.79,0,50,0,NA,mt-zrf
50,3,-61.93,-52.4,-1.57,-0.79,50,0,NA,mt-zrf
51,3,-61.93,-52.4,-2.36,-1.57,50,0,NA,mt-zrf
52,3,-61.93,-52.4,-3.14,-2.36,50,0,NA,mt-zrf
53,3,-61.93,-52.4,0,0.79,50,0,NA,mt-zrf
54,3,-61.93,-52.4,0.79,1.57,50,0,NA,mt-zrf
55,3,-61.93,-52.4,1.57,2.36,50,0,NA,mt-zrf
56,3,-61.93,-52.4,2.36,3.14,50,0,NA,mt-zrf
57,3,-71.46,-61.93,-0.79,0,50,0,NA,mt-zrf
58,3,-71.46,-61.93,-1.57,-0.79,50,0,NA,mt-zrf
